,Run,Sample Characteristic[cell line],Sample Characteristic Ontology Term[cell line],Sample Characteristic[disease],Sample Characteristic Ontology Term[disease],Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Factor Value[cell line],Factor Value Ontology Term[cell line],Factor Value[disease],Factor Value Ontology Term[disease],Analysed,organ
NCI-H2405,run_NCI_H2405.1,NCI-H2405,http://www.ebi.ac.uk/efo/EFO_0002288,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2405,http://www.ebi.ac.uk/efo/EFO_0002288,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H2444,run_NCI_H2444.1,NCI-H2444,NA,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2444,NA,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
NCI-H2452,run_NCI_H2452.2,NCI-H2452,http://www.ebi.ac.uk/efo/EFO_0006680,pleural mesothelioma,http://www.ebi.ac.uk/efo/EFO_1000485,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2452,http://www.ebi.ac.uk/efo/EFO_0006680,pleural mesothelioma,http://www.ebi.ac.uk/efo/EFO_1000485,Yes,other
NCI-H28,run_NCI_H28.1,NCI-H28,http://www.ebi.ac.uk/efo/EFO_0006686,pleural mesothelioma,http://www.ebi.ac.uk/efo/EFO_1000485,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H28,http://www.ebi.ac.uk/efo/EFO_0006686,pleural mesothelioma,http://www.ebi.ac.uk/efo/EFO_1000485,Yes,other
NCI-H292,run_NCI_H292.1,NCI-H292,http://www.ebi.ac.uk/efo/EFO_0006690,pulmonary mucoepidermoid carcinoma,http://www.ebi.ac.uk/efo/EFO_0006740,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H292,http://www.ebi.ac.uk/efo/EFO_0006690,pulmonary mucoepidermoid carcinoma,http://www.ebi.ac.uk/efo/EFO_0006740,Yes,other
NCI-H322,run_NCI_H322.1,NCI-H322,http://www.ebi.ac.uk/efo/EFO_0006691,bronchoalveolar adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000308,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H322,http://www.ebi.ac.uk/efo/EFO_0006691,bronchoalveolar adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000308,Yes,other
NCI-H3255,run_NCI_H3255.1,NCI-H3255,http://www.ebi.ac.uk/efo/EFO_0003123,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H3255,http://www.ebi.ac.uk/efo/EFO_0003123,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H358,run_NCI_H358.1,NCI-H358,http://www.ebi.ac.uk/efo/EFO_0002291,bronchoalveolar adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000308,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H358,http://www.ebi.ac.uk/efo/EFO_0002291,bronchoalveolar adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000308,Yes,other
NCI-H441,run_NCI_H441.1,NCI-H441,http://www.ebi.ac.uk/efo/EFO_0002292,papillary lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000046,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H441,http://www.ebi.ac.uk/efo/EFO_0002292,papillary lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000046,Yes,other
NCI-H446,run_NCI_H446.5,NCI-H446,http://www.ebi.ac.uk/efo/EFO_0002293,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H446,http://www.ebi.ac.uk/efo/EFO_0002293,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H460,run_NCI_H460.5,NCI-H460,http://www.ebi.ac.uk/efo/EFO_0003044,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H460,http://www.ebi.ac.uk/efo/EFO_0003044,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Yes,other
NCI-H508,run_NCI_H508.2,NCI-H508,http://www.ebi.ac.uk/efo/EFO_0002294,cecum adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000020,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H508,http://www.ebi.ac.uk/efo/EFO_0002294,cecum adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000020,Yes,other
NCI-H510,run_NCI_H510.1,NCI-H510,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H510,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H520,run_NCI_H520.1,NCI-H520,http://www.ebi.ac.uk/efo/EFO_0003124,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H520,http://www.ebi.ac.uk/efo/EFO_0003124,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
NCI-H522,run_NCI_H522.1,NCI-H522,http://www.ebi.ac.uk/efo/EFO_0002295,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H522,http://www.ebi.ac.uk/efo/EFO_0002295,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H524,run_NCI_H524.1,NCI-H524,http://www.ebi.ac.uk/efo/EFO_0002296,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H524,http://www.ebi.ac.uk/efo/EFO_0002296,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H526,run_NCI_H526.1,NCI-H526,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H526,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H596,run_NCI_H596.1,NCI-H596,http://www.ebi.ac.uk/efo/EFO_0006694,adenosquamous lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000233,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H596,http://www.ebi.ac.uk/efo/EFO_0006694,adenosquamous lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000233,Yes,other
NCI-H647,run_NCI_H647.1,NCI-H647,NA,adenosquamous lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000233,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H647,NA,adenosquamous lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000233,Yes,other
NCI-H650,run_NCI_H650.1,NCI-H650,http://www.ebi.ac.uk/efo/EFO_0002298,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H650,http://www.ebi.ac.uk/efo/EFO_0002298,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H660,run_NCI_H660.2,NCI-H660,NA,prostate carcinoma,http://www.ebi.ac.uk/efo/EFO_0001663,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H660,NA,prostate carcinoma,http://www.ebi.ac.uk/efo/EFO_0001663,Yes,other
NCI-H661,run_NCI_H661.1,NCI-H661,http://www.ebi.ac.uk/efo/EFO_0002299,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H661,http://www.ebi.ac.uk/efo/EFO_0002299,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Yes,other
NCI-H684,run_NCI_H684.1,NCI-H684,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H684,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
NCI-H69,run_NCI_H69.1,NCI-H69,http://www.ebi.ac.uk/efo/EFO_0002300,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H69,http://www.ebi.ac.uk/efo/EFO_0002300,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H716,run_NCI_H716.2,NCI-H716,http://www.ebi.ac.uk/efo/EFO_0002301,cecum adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000020,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H716,http://www.ebi.ac.uk/efo/EFO_0002301,cecum adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000020,Yes,other
NCI-H727,run_NCI_H727.1,NCI-H727,http://www.ebi.ac.uk/efo/EFO_0006695,lung carcinoid tumor,http://www.ebi.ac.uk/efo/EFO_1000037,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H727,http://www.ebi.ac.uk/efo/EFO_0006695,lung carcinoid tumor,http://www.ebi.ac.uk/efo/EFO_1000037,Yes,other
NCI-H747,run_NCI_H747.1,NCI-H747,http://www.ebi.ac.uk/efo/EFO_0002303,cecum adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000020,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H747,http://www.ebi.ac.uk/efo/EFO_0002303,cecum adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000020,Yes,other
NCI-H810,run_NCI_H810.1,NCI-H810,http://www.ebi.ac.uk/efo/EFO_0002305,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H810,http://www.ebi.ac.uk/efo/EFO_0002305,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Yes,other
NCI-H82,run_NCI_H82.1,NCI-H82,http://www.ebi.ac.uk/efo/EFO_0002306,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H82,http://www.ebi.ac.uk/efo/EFO_0002306,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H838,run_NCI_H838.2,NCI-H838,http://www.ebi.ac.uk/efo/EFO_0002307,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H838,http://www.ebi.ac.uk/efo/EFO_0002307,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H841,run_NCI_H841.5,NCI-H841,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H841,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H854,run_NCI_H854.1,NCI-H854,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H854,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H889,run_NCI_H889.2,NCI-H889,http://www.ebi.ac.uk/efo/EFO_0006697,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H889,http://www.ebi.ac.uk/efo/EFO_0006697,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H929,run_NCI_H929.1,NCI-H929,http://www.ebi.ac.uk/efo/EFO_0001221,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H929,http://www.ebi.ac.uk/efo/EFO_0001221,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Yes,other
NCI-N87,run_NCI_N87.2,NCI-N87,http://www.ebi.ac.uk/efo/EFO_0002841,gastric tubular adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000030,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-N87,http://www.ebi.ac.uk/efo/EFO_0002841,gastric tubular adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000030,Yes,other
NCO2,run_NCO2.1,NCO2,NA,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive",http://www.ebi.ac.uk/efo/EFO_1000131,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCO2,NA,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive",http://www.ebi.ac.uk/efo/EFO_1000131,Yes,other
NH-6,run_NH_6.1,NH-6,NA,adrenal gland neuroblastoma,http://www.ebi.ac.uk/efo/EFO_1000075,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NH-6,NA,adrenal gland neuroblastoma,http://www.ebi.ac.uk/efo/EFO_1000075,Yes,other
NMC-G1,run_NMC_5,NMC-G1,NA,astrocytoma,http://www.ebi.ac.uk/efo/EFO_0000272,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NMC-G1,NA,astrocytoma,http://www.ebi.ac.uk/efo/EFO_0000272,Yes,other
NOMO-1,run_NOMO_1.2,NOMO-1,NA,adult acute monocytic leukemia,http://www.ebi.ac.uk/efo/EFO_1001933,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NOMO-1,NA,adult acute monocytic leukemia,http://www.ebi.ac.uk/efo/EFO_1001933,Yes,other
NU-DHL-1,run_NU_DHL_1.1,NU-DHL-1,NA,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NU-DHL-1,NA,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
NU-DUL-1,run_NU_DUL_1.1,NU-DUL-1,http://www.ebi.ac.uk/efo/EFO_0006700,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NU-DUL-1,http://www.ebi.ac.uk/efo/EFO_0006700,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
NUGC-2,run_NUGC_2.1,NUGC-2,http://www.ebi.ac.uk/efo/EFO_0006701,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NUGC-2,http://www.ebi.ac.uk/efo/EFO_0006701,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Yes,other
NUGC-3,run_NUGC_3.2,NUGC-3,http://www.ebi.ac.uk/efo/EFO_0006702,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NUGC-3,http://www.ebi.ac.uk/efo/EFO_0006702,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Yes,other
NUGC-4,run_NUGC_4.5,NUGC-4,http://www.ebi.ac.uk/efo/EFO_0006703,signet ring cell gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000524,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NUGC-4,http://www.ebi.ac.uk/efo/EFO_0006703,signet ring cell gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000524,Yes,other
OAW28,run_OAW28.1,OAW28,http://www.ebi.ac.uk/efo/EFO_0006704,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OAW28,http://www.ebi.ac.uk/efo/EFO_0006704,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
OAW42,run_OAW42.2,OAW42,http://www.ebi.ac.uk/efo/EFO_0006705,ovarian cystadenocarcinoma,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OAW42,http://www.ebi.ac.uk/efo/EFO_0006705,ovarian cystadenocarcinoma,NA,Yes,other
OC 314,run_OC_314.5,OC 314,NA,ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002917,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OC 314,NA,ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002917,Yes,other
OCI-AML2,run_OCI_AML2.2,OCI-AML2,http://www.ebi.ac.uk/efo/EFO_0006706,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OCI-AML2,http://www.ebi.ac.uk/efo/EFO_0006706,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Yes,other
OCI-AML3,run_OCI_AML3.1,OCI-AML3,http://www.ebi.ac.uk/efo/EFO_0006289,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OCI-AML3,http://www.ebi.ac.uk/efo/EFO_0006289,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Yes,other
OCI-AML5,run_OCI_AML5.1,OCI-AML5,http://www.ebi.ac.uk/efo/EFO_0006707,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OCI-AML5,http://www.ebi.ac.uk/efo/EFO_0006707,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Yes,other
OCI-LY-19,run_OCI_LY_19.1,OCI-LY-19,http://www.ebi.ac.uk/efo/EFO_0006709,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OCI-LY-19,http://www.ebi.ac.uk/efo/EFO_0006709,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
OCI-M1,run_OCI_M1.5,OCI-M1,http://www.ebi.ac.uk/efo/EFO_0006712,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OCI-M1,http://www.ebi.ac.uk/efo/EFO_0006712,adult acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_1001934,Yes,other
OCUM-1,run_OCUM_1.1,OCUM-1,http://www.ebi.ac.uk/efo/EFO_0006714,signet ring cell gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000524,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OCUM-1,http://www.ebi.ac.uk/efo/EFO_0006714,signet ring cell gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000524,Yes,other
OE19,run_OE19.1,OE19,http://www.ebi.ac.uk/efo/EFO_0002308,esophageal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000478,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OE19,http://www.ebi.ac.uk/efo/EFO_0002308,esophageal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000478,Yes,other
OE21,run_OE21.1,OE21,http://www.ebi.ac.uk/efo/EFO_0002309,esophageal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0005922,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OE21,http://www.ebi.ac.uk/efo/EFO_0002309,esophageal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0005922,Yes,other
OE33,run_OE33.1,OE33,http://www.ebi.ac.uk/efo/EFO_0002310,Barrett adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001939,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OE33,http://www.ebi.ac.uk/efo/EFO_0002310,Barrett adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001939,Yes,other
ONCO-DG-1,run_ONCO_DG_1.1,ONCO-DG-1,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,ONCO-DG-1,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
ONS-76,run_ONS_76.1,ONS-76,NA,medulloblastoma,http://www.ebi.ac.uk/efo/EFO_0002939,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,ONS-76,NA,medulloblastoma,http://www.ebi.ac.uk/efo/EFO_0002939,Yes,other
OPM-2,run_OPM_2.1,OPM-2,http://www.ebi.ac.uk/efo/EFO_0006716,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OPM-2,http://www.ebi.ac.uk/efo/EFO_0006716,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Yes,other
OS-RC-2,run_OS_RC_2.1,OS-RC-2,NA,renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000681,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OS-RC-2,NA,renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000681,Yes,other
OUMS-23,run_OUMS_23.1,OUMS-23,http://www.ebi.ac.uk/efo/EFO_0006717,colon carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OUMS-23,http://www.ebi.ac.uk/efo/EFO_0006717,colon carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
OV-90,run_OV_90.1,OV-90,http://www.ebi.ac.uk/efo/EFO_0002311,ovarian adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0006460,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OV-90,http://www.ebi.ac.uk/efo/EFO_0002311,ovarian adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0006460,Yes,other
OV56,run_OV56.1,OV56,http://www.ebi.ac.uk/efo/EFO_0006458,ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002917,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OV56,http://www.ebi.ac.uk/efo/EFO_0006458,ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002917,Yes,other
OV7,run_OV7.1,OV7,http://www.ebi.ac.uk/efo/EFO_0006459,ovarian carcinoma,http://www.ebi.ac.uk/efo/EFO_0001075,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OV7,http://www.ebi.ac.uk/efo/EFO_0006459,ovarian carcinoma,http://www.ebi.ac.uk/efo/EFO_0001075,Yes,other
OVCAR-3,run_NIH_OVCAR_3.2,OVCAR-3,http://www.ebi.ac.uk/efo/EFO_0003061,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OVCAR-3,http://www.ebi.ac.uk/efo/EFO_0003061,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
OVCAR-4,run_OVCAR_4.1,OVCAR-4,http://www.ebi.ac.uk/efo/EFO_0005442,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OVCAR-4,http://www.ebi.ac.uk/efo/EFO_0005442,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
OVCAR-8,run_OVCAR_8.1,OVCAR-8,http://www.ebi.ac.uk/efo/EFO_0005444,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OVCAR-8,http://www.ebi.ac.uk/efo/EFO_0005444,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
OVISE,run_OVISE.5,OVISE,http://www.ebi.ac.uk/efo/EFO_0006724,ovarian clear cell adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000042,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OVISE,http://www.ebi.ac.uk/efo/EFO_0006724,ovarian clear cell adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000042,Yes,other
OVK18,run_OVK18.1,OVK18,NA,ovarian endometrioid adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000416,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OVK18,NA,ovarian endometrioid adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000416,Yes,other
OVMANA,run_OVMANA.1,OVMANA,http://www.ebi.ac.uk/efo/EFO_0006726,ovarian clear cell adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000042,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OVMANA,http://www.ebi.ac.uk/efo/EFO_0006726,ovarian clear cell adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000042,Yes,other
OVSAHO,run_OVSAHO.1,OVSAHO,http://www.ebi.ac.uk/efo/EFO_0006727,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OVSAHO,http://www.ebi.ac.uk/efo/EFO_0006727,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
OVTOKO,run_OVTOKO.1,OVTOKO,http://www.ebi.ac.uk/efo/EFO_0006728,ovarian clear cell adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000042,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,OVTOKO,http://www.ebi.ac.uk/efo/EFO_0006728,ovarian clear cell adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000042,Yes,other
P12-ICHIKAWA,run_P12_ICHIKAWA.1,P12-ICHIKAWA,NA,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,P12-ICHIKAWA,NA,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Yes,other
P31/FUJ,run_P31_FUJ.1,P31/FUJ,NA,acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_0000222,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,P31/FUJ,NA,acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_0000222,Yes,other
